Sample_ID,Category,Bins,Contig_ID,Matched_Species,Abbreviated_Gene_Name,Counts,Protein Accession,ARO_ID,Percentage of identical matches, Alignment length,Number of mismatches,Number of gap openings,Start of alignment in query,End of alignment in query,Start of alignment in subject, End of alignment in subject,Expected value,Bit score,CVTERM ID,Model Sequence ID,Model ID,ARO_Name,DNA Accession,AMR Gene Family,Drug/Antibiotics_Class,Resistance Mechanism,,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx252,Staphylococcus aureus (taxid 1280),Saur_LmrS,3,AAW38464.1,ARO:3004572,100,480,0,0,16687,18126,1,480,4.53E-291,879,42486,5623,3276,Staphylococcus aureus LmrS,CP000046.1,major facilitator superfamily (MFS) antibiotic efflux pump,aminoglycoside antibiotic;diaminopyrimidine antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic,antibiotic efflux,,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx342,Staphylococcus aureus subsp. aureus JKD6159 (taxid 869816),arlS,2,ABD30512.1,ARO:3000839,100,451,0,0,1490,2842,1,451,5.06E-284,857,37219,5398,182,arlS,CP000253.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240351,Ambulances,SRR5240351_bin.4,xx63,Enterococcus faecium Aus0085 (taxid 1305849),efmA,1,BAG75524.1,ARO:3003954,100,428,0,0,47694,46411,1,428,7.28E-269,815,40724,3757,2426,efmA,AB467372.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux,,,,
SRR5240351,Ambulances,SRR5240351_bin.4,xx85,Enterococcus faecium Com15 (taxid 565663),Efac_liaS_DAP,1,AFK58561.1,ARO:3003079,100,355,0,0,20908,19844,1,355,1.4E-214,655,39626,37,1108,Enterococcus faecium liaS mutant conferring daptomycin resistance,CP003583.1,daptomycin resistant liaS,peptide antibiotic,antibiotic efflux;antibiotic target alteration,,,,
SRR5240354,Ambulances,SRR5240354_bin.1,xx133,Enterococcus faecium Aus0085 (taxid 1305849),efmA,1,BAG75524.1,ARO:3003954,100,428,0,0,4971,3688,1,428,5.97E-269,815,40724,3757,2426,efmA,AB467372.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux,,,,
SRR5240354,Ambulances,SRR5240354_bin.1,xx146,Enterococcus faecium Aus0085 (taxid 1305849),Efac_cls_DAP,1,ALL09868.1,ARO:3003092,100,482,0,0,62610,64055,2,483,2.19e-314,947,39639,4733,1175,Enterococcus faecium cls conferring resistance to daptomycin,CP013009.1,daptomycin resistant cls,peptide antibiotic,antibiotic target alteration,,,,
SRR5240355,Ambulances,SRR5240355_bin.1,xx68,Enterococcus faecalis ARO1/DG (taxid 565651),Efae_liaS_DAP,1,AAO82600.1,ARO:3003791,100,367,0,0,5741,6841,1,367,3.09E-224,682,40476,4629,2296,Enterococcus faecalis liaS mutant conferring daptomycin resistance,AE016830.1,daptomycin resistant liaS,peptide antibiotic,antibiotic efflux;antibiotic target alteration,,,,
SRR5240356,Ambulances,SRR5240356_bin.2,xx95,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-23,1,AAV65289.1,ARO:3001418,100,273,0,0,7694,6876,1,273,3.31E-178,547,37818,885,1128,OXA-23,AY795964.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240374,Ambulances,SRR5240374_bin.4,xx46,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-23,1,AAV65289.1,ARO:3001418,100,273,0,0,115073,115891,1,273,7.96E-178,547,37818,885,1128,OXA-23,AY795964.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240375,Ambulances,SRR5240375_bin.3,xx8,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),Kpne_PhoQ_CST,1,QWW12915.1,ARO:3007203,100,488,0,0,414808,416271,1,488,3.36e-311,941,45947,8508,5816,Klebsiella pneumoniae mutant PhoQ conferring resistance to colistin,CP052761.1,ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase;transmembrane protein conferring colistin resistance,macrolide antibiotic;peptide antibiotic,antibiotic efflux;antibiotic target alteration;resistance by absence,,,,
SRR5240375,Ambulances,SRR5240375_bin.3,xx30,Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (taxid 272620),LptD,1,AIA35096.1,ARO:3005059,100,782,0,0,89700,87355,1,782,0,1604,43261,6094,3799,LptD,CP007727.1,ATP-binding cassette (ABC) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;peptide antibiotic;rifamycin antibiotic,antibiotic efflux,,,,
SRR5240375,Ambulances,SRR5240375_bin.3,xx47,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),Kpne_lamB_CZA,1,WAH47136.1,ARO:3007420,100,429,0,0,36625,37911,1,429,2.29E-293,885,46176,8640,5923,Klebsiella pneumoniae lamB with mutations conferring resistance to ceftazidime-avibactam,CP109607.1,Sugar Porin (SP),cephalosporin;fluoroquinolone antibiotic;tetracycline antibiotic,reduced permeability to antibiotic,,,,
SRR5240376,Ambulances,SRR5240376_bin.7,xx1539,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-23,1,AAV65289.1,ARO:3001418,100,273,0,0,2144,2962,1,273,1.4E-181,547,37818,885,1128,OXA-23,AY795964.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240379,Ambulances,SRR5240379_bin.3,xx20,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-23,1,AAV65289.1,ARO:3001418,100,273,0,0,7701,6883,1,273,1.58E-177,547,37818,885,1128,OXA-23,AY795964.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240398,Ambulances,SRR5240398_bin.10,xx8,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),Kpne_lamB_CZA,1,WAH47136.1,ARO:3007420,100,429,0,0,36625,37911,1,429,5.99E-293,885,46176,8640,5923,Klebsiella pneumoniae lamB with mutations conferring resistance to ceftazidime-avibactam,CP109607.1,Sugar Porin (SP),cephalosporin;fluoroquinolone antibiotic;tetracycline antibiotic,reduced permeability to antibiotic,,,,
SRR5240398,Ambulances,SRR5240398_bin.10,xx13,Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),LptD,1,AIA35096.1,ARO:3005059,100,782,0,0,77337,74992,1,782,0,1604,43261,6094,3799,LptD,CP007727.1,ATP-binding cassette (ABC) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;peptide antibiotic;rifamycin antibiotic,antibiotic efflux,,,,
SRR5240398,Ambulances,SRR5240398_bin.10,xx36,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),SHV-28,1,AAG15384.1,ARO:3001086,100,286,0,0,28773,27916,1,286,4.73E-179,551,37466,1946,1742,SHV-28,AF299299.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,,,,
SRR5240398,Ambulances,SRR5240398_bin.10,xx184,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),Kpne_PhoQ_CST,1,QWW12915.1,ARO:3007203,100,488,0,0,11845,10382,1,488,2.72e-312,941,45947,8508,5816,Klebsiella pneumoniae mutant PhoQ conferring resistance to colistin,CP052761.1,ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase;transmembrane protein conferring colistin resistance,macrolide antibiotic;peptide antibiotic,antibiotic efflux;antibiotic target alteration;resistance by absence,,,,
SRR5240398,Ambulances,SRR5240398_bin.8,xx738,Acinetobacter lwoffii (taxid 28090),OXA-283,1,ENU15301.1,ARO:3001738,100,276,0,0,8781,7954,1,276,1.43E-171,526,38138,5644,3448,OXA-283,APOG01000008.1,OXA beta-lactamase;OXA-134-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240398,Ambulances,SRR5240398_bin.9,xx56,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-23,1,AAV65289.1,ARO:3001418,100,273,0,0,98881,99699,1,273,5.92E-178,547,37818,885,1128,OXA-23,AY795964.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240399,Ambulances,SRR5240399_bin.1,xx10,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),LptD,1,AIA35096.1,ARO:3005059,100,782,0,0,96005,98350,1,782,0,1604,43261,6094,3799,LptD,CP007727.1,ATP-binding cassette (ABC) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;peptide antibiotic;rifamycin antibiotic,antibiotic efflux,,,,
SRR5240399,Ambulances,SRR5240399_bin.1,xx13,Klebsiella pneumoniae subsp. pneumoniae PittNDM01 (taxid 1406314),SHV-28,1,AAG15384.1,ARO:3001086,100,286,0,0,120511,121368,1,286,4.73E-179,551,37466,1946,1742,SHV-28,AF299299.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,,,,
SRR5240399,Ambulances,SRR5240399_bin.1,xx15,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),Kpne_lamB_CZA,1,WAH47136.1,ARO:3007420,100,429,0,0,36625,37911,1,429,2.5E-293,885,46176,8640,5923,Klebsiella pneumoniae lamB with mutations conferring resistance to ceftazidime-avibactam,CP109607.1,Sugar Porin (SP),cephalosporin;fluoroquinolone antibiotic;tetracycline antibiotic,reduced permeability to antibiotic,,,,
SRR5240399,Ambulances,SRR5240399_bin.1,xx31,Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (taxid 272620),Kpne_PhoQ_CST,1,QWW12915.1,ARO:3007203,100,488,0,0,23670,25133,1,488,2.72e-312,941,45947,8508,5816,Klebsiella pneumoniae mutant PhoQ conferring resistance to colistin,CP052761.1,ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase;transmembrane protein conferring colistin resistance,macrolide antibiotic;peptide antibiotic,antibiotic efflux;antibiotic target alteration;resistance by absence,,,,
SRR5240440,Ambulances,SRR5240440_bin.2,xx213,Enterococcus faecalis (taxid 1351),tet(M),1,BAB82500.1,ARO:3000186,100,47,0,0,18246,18386,1,47,6.86E-19,92,36325,6139,1692,tet(M),AB039845.1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,,,,
SRR5240441,Ambulances,SRR5240441_bin.4,xx22,Atlantibacter hermannii (taxid 565),HERA-6,1,CAD60970.1,ARO:3004821,100,290,0,0,121787,122656,1,290,4.26E-185,569,42951,5813,3615,HERA-6,AJ536090.1,HERA beta-lactamase,penam,antibiotic inactivation,,,,
SRR5240455,Ambulances,SRR5240455_bin.2,xx15,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-23,1,AAV65289.1,ARO:3001418,100,273,0,0,57555,58373,1,273,7.35E-178,547,37818,885,1128,OXA-23,AY795964.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240458,Ambulances,SRR5240458_bin.7,xx15,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-23,1,AAV65289.1,ARO:3001418,100,273,0,0,162587,163405,1,273,1.46E-177,547,37818,885,1128,OXA-23,AY795964.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240460,Ambulances,SRR5240460_bin.2,xx708,Acinetobacter radioresistens (taxid 40216),OXA-815,1,WP_111280830.1,ARO:3006014,100,273,0,0,9485,10303,1,273,1.21E-178,546,44476,7494,5119,OXA-815,NG_064773.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240462,Ambulances,SRR5240462_bin.7,xx427,Brucella pseudogrignonensis (taxid 419475),OXA-919,1,WP_007879679.1,ARO:3006105,100,275,0,0,5765,4941,1,275,6.32E-185,565,44567,7585,5210,OXA-919,NG_070746.1,OXA beta-lactamase,penam,antibiotic inactivation,,,,
SRR5240471,Ambulances,SRR5240471_bin.4,xx116,Enterococcus faecalis ARO1/DG (taxid 565651),Efae_liaS_DAP,1,AAO82600.1,ARO:3003791,100,367,0,0,5741,6841,1,367,3.12E-224,682,40476,4629,2296,Enterococcus faecalis liaS mutant conferring daptomycin resistance,AE016830.1,daptomycin resistant liaS,peptide antibiotic,antibiotic efflux;antibiotic target alteration,,,,
SRR5240472,Ambulances,SRR5240472_bin.5,xx40,Staphylococcus aureus subsp. aureus JKD6159 (taxid 869816),Saur_norA,1,BAA14147.1,ARO:3004667,100,388,0,0,32680,31517,1,388,5.57E-242,736,42714,5552,3367,Staphylococcus aureus norA,D90119.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240472,Ambulances,SRR5240472_bin.5,xx47,Staphylococcus aureus subsp. aureus JKD6159 (taxid 869816),Saur_UhpT_FOF,1,CAG39240.1,ARO:3003902,100,459,0,0,60691,62067,1,459,3.03E-295,892,40604,5196,2381,Staphylococcus aureus UhpT with mutation conferring resistance to fosfomycin,BX571856.1,antibiotic-resistant UhpT,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240472,Ambulances,SRR5240472_bin.5,xx61,Staphylococcus aureus CA-347 (taxid 1323661),Saur_pgsA_DAP,1,BAB95031.1,ARO:3003323,100,192,0,0,34755,34180,1,192,7.94E-112,353,39907,5359,462,Staphylococcus aureus pgsA mutations conferring resistance to daptomycin,BA000033.2,daptomycin resistant pgsA,peptide antibiotic,antibiotic target alteration,,,,
SRR5240472,Ambulances,SRR5240472_bin.5,xx73,Staphylococcus aureus subsp. aureus ST228 (taxid 1074919),Saur_menA_LYS,1,ABD30105.1,ARO:3003917,100,312,0,0,25130,26065,1,312,2.01E-196,601,40625,5198,2394,Staphylococcus aureus menA with mutation conferring resistance to lysocin,CP000253.1,lysocin resistant menA,peptide antibiotic,antibiotic target alteration,,,,
SRR5240472,Ambulances,SRR5240472_bin.5,xx96,Staphylococcus aureus subsp. aureus ST228 (taxid 1074919),Saur_fusE_FA,1,ADL24064.1,ARO:3003737,100,178,0,0,18841,18308,1,178,2.55E-110,348,40392,4642,2256,Staphylococcus aureus fusE with mutation conferring resistance to fusidic acid,CP002114.2,antibiotic resistant fusE,fusidane antibiotic,antibiotic target alteration,,,,
SRR5240472,Ambulances,SRR5240472_bin.5,xx121,Staphylococcus aureus subsp. aureus Tager 104 (taxid 1381115),arlS,1,ABD30512.1,ARO:3000839,100,451,0,0,11147,12499,1,451,1.65E-283,857,37219,5398,182,arlS,CP000253.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240473,Ambulances,SRR5240473_bin.2,xx4,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-818,1,QBQ03043.1,ARO:3005159,100,273,0,0,390193,389375,1,273,2.17E-177,547,43377,6210,3884,OXA-818,MK645930.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240477,Ambulances,SRR5240477_bin.5,xx339,Enterococcus faecalis ATCC 29212 (taxid 1201292),emeA,3,BAC11911.1,ARO:3003551,100,182,0,0,2,547,212,393,3.35E-105,341,40153,3290,618,emeA,AB091338.1,multidrug and toxic compound extrusion (MATE) transporter,disinfecting agents and antiseptics,antibiotic efflux,,,,
SRR5240477,Ambulances,SRR5240477_bin.5,xx557,Enterococcus faecalis (taxid 1351),Efae_liaS_DAP,1,AAO82600.1,ARO:3003791,100,367,0,0,8375,7275,1,367,3.21E-225,682,40476,4629,2296,Enterococcus faecalis liaS mutant conferring daptomycin resistance,AE016830.1,daptomycin resistant liaS,peptide antibiotic,antibiotic efflux;antibiotic target alteration,,,,
SRR5240498,Ambulances,SRR5240498_bin.6,xx157,Enterococcus faecium Com15 (taxid 565663),Efac_liaS_DAP,1,AFK58561.1,ARO:3003079,100,355,0,0,9128,8064,1,355,3.04E-215,655,39626,37,1108,Enterococcus faecium liaS mutant conferring daptomycin resistance,CP003583.1,daptomycin resistant liaS,peptide antibiotic,antibiotic efflux;antibiotic target alteration,,,,
SRR5240518,Ambulances,SRR5240518_bin.6,xx280,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-813,1,WP_005404206.1,ARO:3006012,100,273,0,0,6890,6072,1,273,1.57E-178,547,44474,7492,5117,OXA-813,NG_064771.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240532,Ambulances,SRR5240532_bin.2,xx27,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-23,1,AAV65289.1,ARO:3001418,100,273,0,0,31717,30899,1,273,9.84E-178,547,37818,885,1128,OXA-23,AY795964.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240537,Ambulances,SRR5240537_bin.8,xx235,Psychrobacter sp. WB2 (taxid 3043330),sul2,1,AAL59753.1,ARO:3000412,100,143,0,0,429,1,1,143,5.95E-83,271,36551,4745,952,sul2,AY055428.1,sulfonamide resistant sul,sulfonamide antibiotic;sulfone antibiotic,antibiotic target replacement,,,,
SRR5240566,Ambulances,SRR5240566_bin.3,xx1,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-813,1,WP_005404206.1,ARO:3006012,100,273,0,0,243143,243961,1,273,1.65E-177,547,44474,7492,5117,OXA-813,NG_064771.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240582,Ambulances,SRR5240582_bin.4,xx1,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-23,1,AAV65289.1,ARO:3001418,100,273,0,0,25758,24940,1,273,8.02E-178,547,37818,885,1128,OXA-23,AY795964.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240589,Ambulances,SRR5240589_bin.2,xx181,Enterococcus faecalis ARO1/DG (taxid 565651),Efae_liaS_DAP,1,AAO82600.1,ARO:3003791,100,367,0,0,5741,6841,1,367,3.09E-224,682,40476,4629,2296,Enterococcus faecalis liaS mutant conferring daptomycin resistance,AE016830.1,daptomycin resistant liaS,peptide antibiotic,antibiotic efflux;antibiotic target alteration,,,,
SRR5240590,Ambulances,SRR5240590_bin.2,xx32,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-23,1,AAV65289.1,ARO:3001418,100,273,0,0,76774,75956,1,273,1.03E-177,547,37818,885,1128,OXA-23,AY795964.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240590,Ambulances,SRR5240590_bin.4,xx95,Acinetobacter pittii PHEA-2 (taxid 871585),ADC-150,1,WP_017386568.1,ARO:3006324,100,383,0,0,25076,26224,1,383,6.61E-256,775,44786,6595,4220,ADC-150,NG_064705.1,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin,antibiotic inactivation,,,,
SRR5240593,Ambulances,SRR5240593_bin.3,xx5,Enterococcus faecalis ATCC 29212 (taxid 1201292),Efae_YybT_DAP,1,AAO79895.1,ARO:3003797,100,658,0,0,107121,105148,1,658,0,1226,40482,5217,2301,Enterococcus faecalis YybT with mutation conferring daptomycin resistance,AE016830.1,daptomycin resistant YybT,peptide antibiotic,antibiotic target alteration,,,,
SRR5240593,Ambulances,SRR5240593_bin.3,xx116,Enterococcus faecalis (taxid 1351),Efae_liaS_DAP,1,AAO82600.1,ARO:3003791,100,367,0,0,5741,6841,1,367,6.46E-225,682,40476,4629,2296,Enterococcus faecalis liaS mutant conferring daptomycin resistance,AE016830.1,daptomycin resistant liaS,peptide antibiotic,antibiotic efflux;antibiotic target alteration,,,,
SRR5240612,Ambulances,SRR5240612_bin.3,xx11,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-811,1,WP_136512102.1,ARO:3006011,100,273,0,0,243599,242781,1,273,6.81E-178,548,44473,7491,5116,OXA-811,NG_064769.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240642,Ambulances,SRR5240642_bin.10,xx1516,Pantoea agglomerans (taxid 549),Ecol_gyrB_AMU,3,BAE77595.1,ARO:3003303,100,36,0,0,3807,3914,1,36,1.43E-14,75.9,39887,2063,111,Escherichia coli gyrB conferring resistance to aminocoumarin,AP009048.1,aminocoumarin resistant gyrB,aminocoumarin antibiotic,antibiotic target alteration,,,,
SRR5240644,Ambulances,SRR5240644_bin.6,xx130,Staphylococcus epidermidis (taxid 1282),norA,1,AAS68233.1,ARO:3000391,100,387,0,0,2887,4047,1,387,2.05E-242,735,36530,268,1554,norA,AY566250.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240651,Ambulances,SRR5240651_bin.5,xx48,Staphylococcus epidermidis (taxid 1282),norA,2,AAS68233.1,ARO:3000391,100,387,0,0,44849,46009,1,387,7.01E-242,735,36530,268,1554,norA,AY566250.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240651,Ambulances,SRR5240651_bin.5,xx184,Staphylococcus epidermidis (taxid 1282),dfrC,1,AAO04716.1,ARO:3002865,100,161,0,0,7692,7210,1,161,1.61E-106,335,39299,4707,1397,dfrC,AE015929.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,,,,
SRR5240662,Ambulances,SRR5240662_bin.4,xx158,Enterobacter hormaechei subsp. steigerwaltii (taxid 299766),ACT-56,1,WP_033487869.1,ARO:3006251,100,381,0,0,20464,19322,1,381,4E-255,772,44713,6522,4147,ACT-56,NG_061415.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,,,,
SRR5240663,Ambulances,SRR5240663_bin.19,xx6,Pseudomonas aeruginosa PA7 (taxid 381754),OpmH,2,AAG08359.1,ARO:3003682,100,482,0,0,337782,336337,1,482,2.21E-300,909,40317,5382,2195,OpmH,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,,,,
