Sample_ID,Category,Bins,Contig_ID,Matched_Species,Abbreviated_Gene_Name,Counts,VFDB_ID,VFDB_ID,Percentage of identical matches, Alignment length,Number of mismatches,Number of gap openings,Start of alignment in query,End of alignment in query,Start of alignment in subject, End of alignment in subject,Expected value,Bit score,Protein_ID,Protein_Function,,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx137,Staphylococcus aureus (taxid 1280),sbnF,1,VFG044259(gb,WP_001795559),100,616,0,0,29212,27365,1,616,0,1234,gb|WP_001795559,(sbnF) 3-(L-alanin-3-ylcarbamoyl)-2-[(2- aminoethylcarbamoyl)methyl]-2-hydroxypropanoate synthase SbnF [Staphyloferrin B (VF1014) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx185,Staphylococcus aureus subsp. aureus JKD6159 (taxid 869816),lip,1,VFG004773(gb,WP_000842036),100,680,0,0,29666,31705,1,680,0,1268,gb|WP_000842036,(lip) triacylglycerol lipase precursor [Lipase (VF0012) - Exoenzyme (VFC0251)] [Staphylococcus aureus subsp. aureus MW2],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx250,Staphylococcus aureus (taxid 1280),lukD,1,VFG004861(gb,WP_000782464),100,327,0,0,15277,14297,1,327,4.13E-214,654,gb|WP_000782464,(lukD) bi-component leukocidin LukED subunit D [LukED (VF0991) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus USA300_FPR3757],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx252,Staphylococcus aureus (taxid 1280),sfaD,1,VFG044277(gb,WP_001052566),100,658,0,0,2151,178,1,658,0,1303,gb|WP_001052566,(sfaD) D-ornithine--citrate ligase SfaD [Staphyloferrin A (VF1013) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx480,Staphylococcus aureus O46 (taxid 948563),set34,1,VFG004893(gb,WP_000784244),100,234,0,0,6370,5669,1,234,2.18E-150,466,gb|WP_000784244,(set34) superantigen-like protein SSL5 [SSLs (VF0990) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus USA300_FPR3757],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx812,Staphylococcus aureus subsp. aureus ST228 (taxid 1074919),SACOL_RS13130,2,VFG043588(gb,WP_001205093),100,521,0,0,3392,4954,1,521,1.69e-313,924,gb|WP_001205093,(SACOL_RS13130) LPXTG-anchored surface protein SasG [SasG (VF1011) - Biofilm (VFC0271)] [Staphylococcus aureus subsp. aureus COL],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx849,Staphylococcus aureus (taxid 1280),set40,1,VFG004885(gb,WP_000769163),100,225,0,0,3126,2452,1,225,1.41E-139,428,gb|WP_000769163,(set40) superantigen-like protein SSL11 [SSLs (VF0990) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus USA300_FPR3757],,,,
SRR5240354,Ambulances,SRR5240354_bin.1,xx22,Enterococcus faecium Aus0085 (taxid 1305849),scm,1,VFG045626(gb,WP_014748741),100,365,0,0,1174,80,1,365,3.26E-216,675,gb|WP_014748741,(scm) collagen adhesin protein Scm [Scm (VF0418) - Adherence (VFC0001)] [Enterococcus faecium DO],,,,
SRR5240354,Ambulances,SRR5240354_bin.1,xx24,Enterococcus faecium Com15 (taxid 565663),bopD,3,VFG045670(gb,WP_002286379),100,339,0,0,103759,102743,1,339,5.16E-216,662,gb|WP_002286379,(bopD) sugar-binding transcriptional regulator  LacI family [BopD (VF0362) - Biofilm (VFC0271)] [Enterococcus faecium Aus0004] ,,,,
SRR5240354,Ambulances,SRR5240354_bin.1,xx52,Enterococcus faecium Aus0085 (taxid 1305849),ACI49667,1,VFG042993(gb,ACI49667),100,1129,0,0,31075,27689,1,1129,0,2216,gb|ACI49667,(ACI49667) putative pilus tip protein [PilB-type pili (PGS3) (VF0745) - Adherence (VFC0001)] [Enterococcus faecium str. E1165],,,,
SRR5240354,Ambulances,SRR5240354_bin.1,xx130,Enterococcus faecium (taxid 1352),acm,1,VFG043518(gb,AAN12397),100,721,0,0,31635,33797,1,721,0,1425,gb|AAN12397,(acm) collagen adhesin precursor Acm [Acm (VF0419) - Adherence (VFC0001)] [Enterococcus faecium str. TX2555],,,,
SRR5240354,Ambulances,SRR5240354_bin.1,xx133,Enterococcus faecium Aus0085 (taxid 1305849),efaA,1,VFG045614(gb,WP_002286843),100,316,0,0,58049,57102,1,316,2.62E-200,615,gb|WP_002286843,(efaA) endocarditis specific antigen [EfaA (VF0354) - Adherence (VFC0001)] [Enterococcus faecium Aus0004],,,,
SRR5240354,Ambulances,SRR5240354_bin.1,xx195,Enterococcus faecium DO (taxid 333849),cpsA/uppS,3,VFG045688(gb,WP_002294134),100,270,0,0,23444,22635,1,270,6.85E-176,543,gb|WP_002294134,(cpsA/uppS) undecaprenyl diphosphate synthase [Capsule (VF0361) - Immune modulation (VFC0258)] [Enterococcus faecium Aus0004],,,,
SRR5240355,Ambulances,SRR5240355_bin.1,xx22,Enterococcus faecalis ATCC 29212 (taxid 1201292),bopD,3,VFG045668(gb,WP_002358859),100,336,0,0,20063,21070,1,336,1.71E-216,662,gb|WP_002358859,(bopD) sugar-binding transcriptional regulator  LacI family [BopD (VF0362) - Biofilm (VFC0271)] [Enterococcus faecalis D32] ,,,,
SRR5240355,Ambulances,SRR5240355_bin.1,xx33,Enterococcus faecalis (taxid 1351),cpsA/uppS,1,VFG002190(gb,WP_002362225),100,271,0,0,34676,33864,1,271,2.22E-177,546,gb|WP_002362225,(cpsA/uppS) undecaprenyl diphosphate synthase [Capsule (VF0361) - Immune modulation (VFC0258)] [Enterococcus faecalis V583],,,,
SRR5240355,Ambulances,SRR5240355_bin.1,xx115,Enterococcus faecalis (taxid 1351),ecbA/fss3,1,VFG043510(gb,WP_002369215),100,320,0,0,7688,8647,1,320,2.82E-196,631,gb|WP_002369215,(ecbA/fss3) Collagen binding MSCRAMM  EcbA/Fss3 [EcbA (VF0539) - Adherence (VFC0001)] [Enterococcus faecalis V583] ,,,,
SRR5240357,Ambulances,SRR5240357_bin.2,xx309,Enterococcus faecalis (taxid 1351),bopD,5,VFG045668(gb,WP_002358859),100,336,0,0,6075,5068,1,336,3.87E-217,662,gb|WP_002358859,(bopD) sugar-binding transcriptional regulator  LacI family [BopD (VF0362) - Biofilm (VFC0271)] [Enterococcus faecalis D32] ,,,,
SRR5240369,Ambulances,SRR5240369_bin.2,xx25,Stutzerimonas stutzeri DSM 4166 (taxid 996285),pilF,1,VFG013833(gb,WP_011914128),100,252,0,0,79176,79931,1,252,1.32E-152,476,gb|WP_011914128,(pilF) type 4 fimbrial biogenesis protein PilF [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas stutzeri A1501],,,,
SRR5240375,Ambulances,SRR5240375_bin.3,xx9,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),fimD,1,VFG048277(gb,WP_009308599),100,870,0,0,63907,61298,1,870,0,1761,gb|WP_009308599,(fimD) outer membrane usher protein [Type I fimbriae (VF0566) - Adherence (VFC0001)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044],,,,
SRR5240375,Ambulances,SRR5240375_bin.3,xx16,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),iutA,1,VFG048615(gb,YP_005226287),100,729,0,0,336112,333926,1,729,0,1471,gb|YP_005226287,(iutA) ferric aerobactin receptor IutA [Aerobactin (VF0565) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae HS11286],,,,
SRR5240375,Ambulances,SRR5240375_bin.3,xx20,Klebsiella pneumoniae subsp. pneumoniae ATCC 43816 (taxid 1308539),acrB,9,VFG049144(gb,WP_002892069),100,1048,0,0,163218,160075,1,1048,0,1993,gb|WP_002892069,(acrB) acriflavine resistance protein B [AcrAB (VF0568) - Antimicrobial activity/Competitive advantage (VFC0325)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044],,,,
SRR5240386,Ambulances,SRR5240386_bin.7,xx253,Stutzerimonas stutzeri DSM 4166 (taxid 996285),hdtS,1,VFG015609(gb,WP_011911258),100,249,0,0,31177,31923,1,249,1.53E-163,506,gb|WP_011911258,(hdtS) 1-acyl-sn-glycerol-3-phosphate acyltransferase [Acylhomoserine lactone synthase (VF0907) - Biofilm (VFC0271)] [Pseudomonas stutzeri A1501],,,,
SRR5240398,Ambulances,SRR5240398_bin.10,xx18,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),acrB,8,VFG049144(gb,WP_002892069),100,1048,0,0,70217,73360,1,1048,0,1993,gb|WP_002892069,(acrB) acriflavine resistance protein B [AcrAB (VF0568) - Antimicrobial activity/Competitive advantage (VFC0325)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044],,,,
SRR5240398,Ambulances,SRR5240398_bin.10,xx63,Klebsiella pneumoniae subsp. pneumoniae Kp13 (taxid 1123862),clpV,4,VFG049196(gb,WP_004890358),100,857,0,0,87074,89644,1,857,0,1620,gb|WP_004890358,(clpV) ATP-dependent chaperone ClpB [T6SS-II (VF0783) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044],,,,
SRR5240398,Ambulances,SRR5240398_bin.10,xx84,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),iutA,1,VFG048615(gb,YP_005226287),100,729,0,0,53085,50899,1,729,0,1471,gb|YP_005226287,(iutA) ferric aerobactin receptor IutA [Aerobactin (VF0565) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae HS11286],,,,
SRR5240399,Ambulances,SRR5240399_bin.1,xx7,Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),clpV,1,VFG049196(gb,WP_004890358),100,857,0,0,2909,339,1,857,0,1620,gb|WP_004890358,(clpV) ATP-dependent chaperone ClpB [T6SS-II (VF0783) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044],,,,
SRR5240399,Ambulances,SRR5240399_bin.1,xx24,Klebsiella pneumoniae subsp. pneumoniae 1084 (taxid 1193292),iutA,1,VFG048615(gb,YP_005226287),100,729,0,0,53085,50899,1,729,0,1471,gb|YP_005226287,(iutA) ferric aerobactin receptor IutA [Aerobactin (VF0565) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae HS11286],,,,
SRR5240428,Ambulances,SRR5240428_bin.7,xx157,Stutzerimonas stutzeri DSM 4166 (taxid 996285),fimV,1,VFG013983(gb,WP_011912930),100,914,0,0,11272,8531,1,914,0,1549,gb|WP_011912930,(fimV) a polar peptidoglycan-binding protein involved in type IV pilus assembly [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas stutzeri A1501],,,,
SRR5240428,Ambulances,SRR5240428_bin.7,xx393,Stutzerimonas stutzeri RCH2 (taxid 644801),mucD,1,VFG014962(gb,WP_011912408),100,473,0,0,21654,23072,1,473,1.03E-301,912,gb|WP_011912408,(mucD) serine protease MucD precursor [Alginate (VF0091) - Biofilm (VFC0271)] [Pseudomonas stutzeri A1501],,,,
SRR5240428,Ambulances,SRR5240428_bin.7,xx487,Stutzerimonas stutzeri DSM 10701 (taxid 1123519),pilF,1,VFG013833(gb,WP_011914128),100,252,0,0,9438,8683,1,252,3.31E-153,476,gb|WP_011914128,(pilF) type 4 fimbrial biogenesis protein PilF [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas stutzeri A1501],,,,
SRR5240428,Ambulances,SRR5240428_bin.7,xx507,Stutzerimonas stutzeri DSM 4166 (taxid 996285),fliF,1,VFG014420(gb,WP_013983230),100,594,0,0,12013,13794,1,594,0,1122,gb|WP_013983230,(fliF) flagellar M-ring protein FliF [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas stutzeri A1501],,,,
SRR5240428,Ambulances,SRR5240428_bin.7,xx603,Stutzerimonas stutzeri DSM 4166 (taxid 996285),fliS,1,VFG014342(gb,WP_011913014),100,128,0,0,23946,23563,1,128,1.01E-75,248,gb|WP_011913014,(fliS) flagellar protein FliS [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas stutzeri A1501],,,,
SRR5240428,Ambulances,SRR5240428_bin.7,xx1199,Stutzerimonas stutzeri DSM 4166 (taxid 996285),mucP,1,VFG015012(gb,WP_011912707),100,450,0,0,2694,4043,1,450,2.36E-293,885,gb|WP_011912707,(mucP) metalloprotease protease [Alginate (VF0091) - Biofilm (VFC0271)] [Pseudomonas stutzeri A1501],,,,
SRR5240428,Ambulances,SRR5240428_bin.7,xx3246,Stutzerimonas stutzeri (taxid 316),algW,1,VFG014996(gb,WP_011912236),100,383,0,0,2890,1742,1,383,4.49E-256,731,gb|WP_011912236,(algW) AlgW protein [Alginate (VF0091) - Biofilm (VFC0271)] [Pseudomonas stutzeri A1501],,,,
SRR5240471,Ambulances,SRR5240471_bin.4,xx54,Enterococcus faecalis OG1RF (taxid 474186),efaA,1,VFG002165(gb,WP_002356954),100,308,0,0,22327,23250,1,308,2.75E-198,609,gb|WP_002356954,(efaA) endocarditis specific antigen [EfaA (VF0354) - Adherence (VFC0001)] [Enterococcus faecalis V583],,,,
SRR5240472,Ambulances,SRR5240472_bin.5,xx69,Staphylococcus aureus subsp. aureus JKD6159 (taxid 869816),set8,1,VFG004953(gb,WP_001056483),100,356,0,0,65692,66759,1,356,2.36E-172,537,gb|WP_001056483,(set8) superantigen-like protein SSL3 [SSLs (VF0990) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus N315],,,,
SRR5240472,Ambulances,SRR5240472_bin.5,xx73,Staphylococcus aureus subsp. aureus ST228 (taxid 1074919),atl,1,VFG004489(gb,WP_001074542),100,1256,0,0,10053,13820,1,1256,0,2396,gb|WP_001074542,(atl) bifunctional autolysin [Autolysin alt (VF0997) - Adherence (VFC0001)] [Staphylococcus aureus subsp. aureus MW2],,,,
SRR5240472,Ambulances,SRR5240472_bin.5,xx96,Staphylococcus aureus subsp. aureus ST228 (taxid 1074919),hysA,2,VFG004741(gb,WP_000222239),100,240,0,0,1,720,568,807,1.04E-140,464,gb|WP_000222239,(hysA) hyaluronate lyase precursor [Hyaluronate lyase (VF0013) - Exoenzyme (VFC0251)] [Staphylococcus aureus subsp. aureus USA300_FPR3757],,,,
SRR5240472,Ambulances,SRR5240472_bin.5,xx128,Staphylococcus aureus (taxid 1280),sdrE,2,VFG004587(gb,WP_000610280),100,60,0,0,31898,31719,1054,1113,4.62E-26,120,gb|WP_000610280,(sdrE) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019) - Adherence (VFC0001)] [Staphylococcus aureus RF122],,,,
SRR5240472,Ambulances,SRR5240472_bin.5,xx177,Staphylococcus aureus (taxid 1280),lukD,1,VFG004864(gb,WP_000782463),100,327,0,0,4792,5772,1,327,1.47E-214,654,gb|WP_000782463,(lukD) bi-component leukocidin LukED subunit D [LukED (VF0991) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus N315],,,,
SRR5240473,Ambulances,SRR5240473_bin.4,xx313,Pseudomonas syringae pv. syringae (taxid 321),gacA,1,VFG015083(gb,WP_005737926),100,69,0,0,2747,2541,146,214,3.99E-36,135,gb|WP_005737926,(gacA) UvrY/SirA/GacA family response regulator transcription factor [GacS/GacA two-component system (VF0908) - Regulation (VFC0301)] [Pseudomonas syringae pv. tomato str. DC3000],,,,
SRR5240477,Ambulances,SRR5240477_bin.5,xx517,Enterococcus faecalis (taxid 1351),bopD,7,VFG045668(gb,WP_002358859),100,336,0,0,6075,5068,1,336,2.64E-217,662,gb|WP_002358859,(bopD) sugar-binding transcriptional regulator  LacI family [BopD (VF0362) - Biofilm (VFC0271)] [Enterococcus faecalis D32] ,,,,
SRR5240477,Ambulances,SRR5240477_bin.5,xx529,Enterococcus faecalis (taxid 1351),EF_RS14505,2,VFG043442(gb,WP_002398899),100,121,0,0,9632,9994,1,121,3.12E-52,192,gb|WP_002398899,(EF_RS14505) CHAP domain-containing protein [Fibronectin-binding protein (VF0748) - Adherence (VFC0001)] [Enterococcus faecalis V583],,,,
SRR5240544,Ambulances,SRR5240544_bin.6,xx24,Stutzerimonas stutzeri DSM 4166 (taxid 996285),pilF,2,VFG013833(gb,WP_011914128),100,252,0,0,79090,79845,1,252,1.31E-152,476,gb|WP_011914128,(pilF) type 4 fimbrial biogenesis protein PilF [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas stutzeri A1501],,,,
SRR5240544,Ambulances,SRR5240544_bin.6,xx262,Stutzerimonas stutzeri DSM 4166 (taxid 996285),pilQ,3,VFG013895(gb,WP_041755270),100,699,0,0,4922,2826,1,699,0,1318,gb|WP_041755270,(pilQ) type 4 fimbrial biogenesis protein PilQ [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas stutzeri A1501],,,,
SRR5240544,Ambulances,SRR5240544_bin.6,xx1059,Stutzerimonas stutzeri RCH2 (taxid 644801),hdtS,1,VFG015609(gb,WP_011911258),100,249,0,0,2243,1497,1,249,6.27E-172,506,gb|WP_011911258,(hdtS) 1-acyl-sn-glycerol-3-phosphate acyltransferase [Acylhomoserine lactone synthase (VF0907) - Biofilm (VFC0271)] [Pseudomonas stutzeri A1501],,,,
SRR5240547,Ambulances,SRR5240547_bin.1,xx89,Pseudomonas rhizosphaerae (taxid 216142),algU,1,VFG014914(gb,WP_011535354),100,193,0,0,2933,2355,1,193,1.02E-122,385,gb|WP_011535354,(algU) alginate biosynthesis protein AlgZ/FimS [Alginate (VF0091) - Biofilm (VFC0271)] [Pseudomonas entomophila L48],,,,
SRR5240586,Ambulances,SRR5240586_bin.2,xx25,Stutzerimonas stutzeri DSM 4166 (taxid 996285),mucD,1,VFG014962(gb,WP_011912408),100,473,0,0,34180,35598,1,473,5.67E-301,912,gb|WP_011912408,(mucD) serine protease MucD precursor [Alginate (VF0091) - Biofilm (VFC0271)] [Pseudomonas stutzeri A1501],,,,
SRR5240586,Ambulances,SRR5240586_bin.2,xx42,Stutzerimonas stutzeri DSM 4166 (taxid 996285),pilF,1,VFG013833(gb,WP_011914128),100,252,0,0,79236,79991,1,252,1.32E-152,476,gb|WP_011914128,(pilF) type 4 fimbrial biogenesis protein PilF [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas stutzeri A1501],,,,
SRR5240586,Ambulances,SRR5240586_bin.2,xx58,Stutzerimonas stutzeri DSM 4166 (taxid 996285),mucP,2,VFG015012(gb,WP_011912707),100,450,0,0,22612,23961,1,450,5.12E-292,885,gb|WP_011912707,(mucP) metalloprotease protease [Alginate (VF0091) - Biofilm (VFC0271)] [Pseudomonas stutzeri A1501],,,,
SRR5240586,Ambulances,SRR5240586_bin.2,xx138,Stutzerimonas stutzeri DSM 4166 (taxid 996285),hdtS,1,VFG015609(gb,WP_011911258),100,249,0,0,2279,1533,1,249,7.79E-164,506,gb|WP_011911258,(hdtS) 1-acyl-sn-glycerol-3-phosphate acyltransferase [Acylhomoserine lactone synthase (VF0907) - Biofilm (VFC0271)] [Pseudomonas stutzeri A1501],,,,
SRR5240589,Ambulances,SRR5240589_bin.2,xx83,Enterococcus faecalis ATCC 29212 (taxid 1201292),cpsA/uppS,1,VFG045686(gb,WP_002356646),100,271,0,0,8377,9189,1,271,1.82E-177,547,gb|WP_002356646,(cpsA/uppS) undecaprenyl diphosphate synthase [Capsule (VF0361) - Immune modulation (VFC0258)] [Enterococcus faecalis D32],,,,
SRR5240589,Ambulances,SRR5240589_bin.2,xx102,Enterococcus faecalis (taxid 1351),efaA,1,VFG002165(gb,WP_002356954),100,308,0,0,24652,23729,1,308,1.88E-198,609,gb|WP_002356954,(efaA) endocarditis specific antigen [EfaA (VF0354) - Adherence (VFC0001)] [Enterococcus faecalis V583],,,,
SRR5240589,Ambulances,SRR5240589_bin.2,xx193,Enterococcus faecalis (taxid 1351),EF3023,2,VFG045666(gb,WP_014862428),100,134,0,0,21045,20644,1239,1372,5.23E-64,243,gb|WP_014862428,(EF3023) polysaccharide lyase  family 8 [Hyaluronidase (VF0359) - Exoenzyme (VFC0251)] [Enterococcus faecalis D32] ,,,,
SRR5240593,Ambulances,SRR5240593_bin.3,xx3,Enterococcus faecalis ATCC 29212 (taxid 1201292),fss2,1,VFG043509(gb,WP_011109555),100,1651,0,0,43351,48303,1,1651,0,3140,gb|WP_011109555,(fss2) Enterococcus faecalis surface protein Fss2  fibrinogen binding protein [Fibrinogen binding protein (VF0751) - Adherence (VFC0001)] [Enterococcus faecalis V583] ,,,,
SRR5240593,Ambulances,SRR5240593_bin.3,xx5,Enterococcus faecalis ATCC 29212 (taxid 1201292),fss1,1,VFG043508(gb,WP_010706812),100,2032,0,0,32395,26300,1,2032,0,3930,gb|WP_010706812,(fss1) Enterococcus faecalis surface protein Fss1  fibrinogen binding protein [Fibrinogen binding protein (VF0750) - Adherence (VFC0001)] [Enterococcus faecalis V583] ,,,,
SRR5240593,Ambulances,SRR5240593_bin.3,xx24,Enterococcus faecalis D32 (taxid 1206105),EF0818,1,VFG002195(gb,WP_002399773),100,1004,0,0,17953,14942,1,1004,0,2013,gb|WP_002399773,(EF0818) polysaccharide lyase  family 8 [Hyaluronidase (VF0359) - Exoenzyme (VFC0251)] [Enterococcus faecalis V583] ,,,,
SRR5240593,Ambulances,SRR5240593_bin.3,xx45,Enterococcus faecalis ATCC 29212 (taxid 1201292),bopD,1,VFG002197(gb,WP_002387027),100,336,0,0,31727,30720,1,336,2.89E-216,661,gb|WP_002387027,(bopD) sugar-binding transcriptional regulator  LacI family [BopD (VF0362) - Biofilm (VFC0271)] [Enterococcus faecalis V583] ,,,,
